symbol,current_price,buy_probability,signal_strength,rsi,price_vs_sma50,volume,screening_date,model_accuracy
CRL,161.35000610351562,0.68,MOYEN,13.314897009615564,-20.085226350926973,1102300,2026-02-13,0.49918772563176894
SCHW,93.72000122070312,0.66,MOYEN,31.485925440222573,-6.53851342799257,12651800,2026-02-13,0.49918772563176894
